Title;year;Kind;Genre;rating;vote;Country;Language;Cast;Director;composer;Writer;runtime;
Barney'S Colorful World, Live!;2004;Video Movie;Family;7.7;31;United States, United Kingdom;Spanish, English;Dean Wendt, Patrick Mcalister, Rick Starkweather, Julie Johnson, Jennifer Kendal, Matthew N. Myers, Patty Wirtz, Jarred Harris, David Kendal, Alex Collins, Alexis Acosta, Blake Garrett, Tory Green, Daven Wilson, Julia Nicholson, Alyssa Franks, Mauri Howell, Dominica Warburton, Jody Hope, Amy Hope, Yann Minski Luke, David Voss, Sean Patrick Henry, Rebecca Wilson, Luciana Bell, Chelsea Dillin, Holly Hester, Kristine Lucht, Jessica Taylor, Luis Veliz, Keira Leverton;Steve Kemsley, Jim Rowley;Unknown;Stephen White, Simon Nicholson, Sheryl Leach;69;
Cronos;1993;Movie;Fantasy, Horror;6.7;28497;Mexico;Spanish, English;Federico Luppi, Ron Perlman, Claudio Brook, Margarita Isabel, Tamara Xanath, Daniel Giménez Cacho, Mario Iván Martínez, Farnesio De Bernal, Juan Carlos Colombo, Jorge Martínez De Hoyos, Luis Rodríguez, Javier Álvarez, Gerardo Moscoso, Eugenio Lobo, Adriana Olivera, Clementina Rojas, Tzinia Salgado, Luis De Icaza, Jorge Bolada, Ignacio Raiz Oviedo, Napo, Laurencio Cordero, Guillermo Del Toro;Guillermo Del Toro;Javier Álvarez;Guillermo Del Toro;94;
Epoch: Evolution;2003;Tv Movie;Action, Mystery, Sci-Fi, Thriller;4.3;642;United States;Spanish, English;David Keith, Angel Boris Reed, Billy Dee Williams, Brian Thompson, Jeffrey Gorman, P.K. Ewing, Velizar Binev, Biliana Petrinska, Tyrone Pinkham, Michael Ash, John Barnes, Kate Goggin, John Hansson, Ray Hartbarger, Mark Herndon, D.J. Johnson, Adrienne Mcqueen, Dessi Morales, Vladimir Nikolov, Teadora Nikolova, Marianna Popova, Jeff Rank, Shero Rauf, Atanas Srebrev, Steven M. Blasini;Ian Watson;Jamie Christopherson;Jonathan Raymond, Sam Wells;94;
Hell;2010;Movie;Action, Comedy, Crime, Drama, Western;7.7;9132;Mexico;Spanish, English;Damián Alcázar, Joaquín Cosio, Ernesto Gómez Cruz, María Rojo, Elizabeth Cervantes, Daniel Giménez Cacho, Jorge Zárate, Salvador Sánchez, Angelina Peláez, Kristyan Ferrer, Dagoberto Gama, Mauricio Isaac, Alejandro Calva, Emilio Guerrero, Silverio Palacios, Mario Almada, Isela Vega, Daniel Martínez, Alfonso Figueroa, José Concepción Macías, José Sefami, Gerardo Taracena, Carlos Cobos, Noé Hernández, Zaide Silvia Gutiérrez, Tony Dalton, Héctor Jiménez, Gabino Rodríguez, Fermín Martínez, Ariel Galvan, Álex Perea, Hector Kotsifakis, Edwarda Gurrola, Andrés Márquez, Tenoch Huerta, Jen Taylor;Luis Estrada;Michael Brook;Luis Estrada, Luis Estrada, Jaime Sampietro;149;
Horror Express;1972;Movie;Adventure, Horror, Sci-Fi, Thriller;6.5;10018;United Kingdom, Spain;Spanish, English;Christopher Lee, Peter Cushing, Alberto De Mendoza, Silvia Tortosa, Julio Peña, Ángel Del Pozo, Helga Liné, Alice Reinheart, José Jaspe, George Rigaud, Víctor Israel, Faith Clift, Juan Olaguivel, Barta Barri, Peter Beckman, Hiroshi Kitatawa, Vicente Roca, José Canalejas, José Marco, Allen Russell, Telly Savalas, Fernando Villena;Eugenio Martín;John Cacavas;Arnaud Dusseau, Julian Zimet;91;
Like Water For Chocolate;1992;Movie;Drama, Romance;7.1;17434;Mexico;Spanish, English;Marco Leonardi, Lumi Cavazos, Regina Torné, Mario Iván Martínez, Ada Carrasco, Yareli Arizmendi, Claudette Maillé, Pilar Aranda, Farnesio De Bernal, Joaquín Garrido, Rodolfo Arias, Margarita Isabel, Sandra Arau, Andrés García Jr., Regino Herrera, Genaro Aguirre, David Ostrosky, Brígida Alexander, Amado Ramírez, Arcelia Ramírez, Socorro Rodríguez, Rafael García Zuazua, Rafael García Zuazua Jr., Edurne Ballesteros, Melisa Mares, Gabriela Canudas, Natalia De La Fuente, Beatriz Elías, Rodolfo Mejía, Ricardo M. Kaplan, Jaime R. Rodríguez, Osvaldo Martínez, Javier Mares, Miguel Mares, Jorge Vizales, Orquesta De R. Lombra, Artemio Cruz, Simon, Chester, Melisa Nickliff, Mary Beth Awyer, David Mckinney, Ryan Manti, Bo Hatch, Alfredo P. De Tejada, Gabriela P. De Tejada, Stacey Ashabranner, Teresa Ross, Susana Garcia C., Billy Jagnes, K. Wickliff, Fune Kohlman, Hayde J. Rodriguez, Maria H. Pineda, Estela Lopez R., Lorena Villarreal, Indira Sánchez, Sonia Ruiz, Maria R. Flores, Lizet Martinez, Victor M. Gomez, Jose F. Lopez, Roberto Díaz, Juan A. Ramos, Jaime J. Maartinez, Teodoro Bastida, Jesus Aguilar, Max Geturino, Angel Sierra, Francisco Romero, Luis A. Muñoz, José Miguel García, Mario Vasquez, Jose A. Hernandez, Rogelio Cornejo, Juan Murillo;Alfonso Arau;Leo Brouwer;Laura Esquivel, Laura Esquivel;105;
Monty Python Live (Mostly);2014;Movie;Documentary, Comedy, Musical;7.7;2521;United Kingdom;Spanish, English;John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Graham Chapman, Carol Cleveland, Brian Cox, Samuel Holmes, Stephen Hawking, Eddie Izzard, John Du Prez, Mike Myers, Simon Beck, Jeff Leach, Mike Davis, Owain Harries, Nick Walsh, Steve Willingham, Allan Cocks, Corrina Silvester, Jamielisa Jacquemin, Sonia Jones, David Laudat, Melanie Marshall, Ashley Andrews, Gabby Antrobus, Curtis Angus, Caoife Coleman, Matthew Bradley, Majella Fitzgerald, Darron Gifty, Lavinia Fitzpatrick, Nick Gilligan, Lauren Hearnden Mayer, Jared Hageman, Holly James, Pip Hersee, Hayley Martin, Dominic Lamb, Carly Meyers, Kevin Mcguire, Joanna Rennie, Matthew Wesley, Lisa Spencer, Ian Henderson, Dominic Kinnaird, Monty Python, Warwick Davis, Simon Jones, Dara O Briain;Eric Idle, Aubrey Powell;Unknown;Graham Chapman, John Cleese, Terry Gilliam;162;
Soy Cuba;1964;Movie;Drama;8.2;8858;Cuba, Soviet Union;Spanish, English;Sergio Corrieri, Salvador Wood, José Gallardo, Raúl García, Luz María Collazo, Jean Bouise, Alberto Morgan, Celia Rodriguez, Fausto Mirabal, Roberto García York, María De Las Mercedes Díez, Bárbara Domínguez, Jesús Del Monte, Luisa María Jiménez, Mario González Broche, Tony López, Héctor Castañeda, Rosendo Lamadriz, Roberto Villar, Roberto Cabrera, Alfredo Ávila, José Espinosa, Rafael Díaz, Isabel Moreno, Manuel J. Mora, Raquel Revuelta, Nina Nikitina, Georgi Yepifantsev, Los Astros, Aramís Delgado, El Duo Los Diablos, Raúl Gómez, Pepe Ramírez;Mikhail Kalatozov;Carlos Fariñas;Enrique Pineda Barnet, Evgeniy Evtushenko;141;
The Official Story;1985;Movie;Drama, History;7.8;9042;Argentina;Spanish, English;Héctor Alterio, Norma Aleandro, Chunchuna Villafañe, Hugo Arana, Guillermo Battaglia, Chela Ruíz, Patricio Contreras, María Luisa Robledo, Aníbal Morixe, Jorge Petraglia, Analia Castro, Daniel Lago, Augusto Larreta, Laura Palmucci, Leal Rey, Floria Bloise, Lidia Catalano, Deborah Kors, Carlos Weber, José María López, Andrea Tenuta, Susana Behocaray, Cecilia Blanche, Angelica Bogué, Zulema Caldas, Eduardo Camacho, Paula Canals, Jorge Chernov, Diego Cosín, Alicia Dolinski, Horacio Erman, Mónica Escudero, Oscar Ferrigno, Luis Gianneo, Eduardo Gondell, Gabriel González, Ricardo Hamlin, Fernando Hoffman, Amparo Ibarlucia, Virginia Innocenti, Tony Middleton, Luisa Onetto, Fabian Pandolfi, Gastón Presas, Pablo Rago, Fabián Rendo, Maximiliano Reussi, Adrian Schiavelli, Jorge Sorvik, Silvia Suárez, Beatriz Thibaudin, Gustavo Tieffenberg, Marcos Woinsky, Horacio Yervé;Luis Puenzo;Atilio Stampone;Aída Bortnik, Luis Puenzo;112;
The Original Latin Kings Of Comedy;2002;Movie;Documentary, Comedy;6.6;344;United States;Spanish, English;Nayib Estefan, George Lopez, Cheech Marin, Joey Medina, Alex Reymundo, Paul Rodriguez;Jeb Brien;Unknown;George Lopez, Cheech Marin, Paul Rodriguez;86;
Truman;2015;Movie;Comedy, Drama;7.3;12492;Spain, Argentina;Spanish, English;Ricardo Darín, Javier Cámara, Dolores Fonzi, Troilo, Eduard Fernández, Alex Brendemühl, Pedro Casablanc, José Luis Gómez, Javier Gutiérrez, Elvira Mínguez, Oriol Pla, Nathalie Poza, Àgata Roca, Susi Sánchez, Francesc Orella, Ana Gracia, Silvia Abascal, Kira Miró, Lucie Desclozeaux, Elisabet Altube, Carolina Meijer, Pablo Schaupp, Luz Ottone, Lucas Hamming, Lucía Guerrero, Greta Fernández, Teresa Soria Ruano, Pepa Charro, Patricia Byrne, Camilo Vázquez, Bouzan Hadawi, Alison Smith, Anna López Infante, Wing Tse, Yolanda Maure;Cesc Gay;Nico Cota, Toti Soler;Tomàs Aragay, Cesc Gay;108;
Yu-Gi-Oh!: The Movie - Pyramid Of Light;2004;Movie;Animation, Action, Adventure, Family, Fantasy, Thriller;5.0;8323;Japan, United States, Spain;Spanish, English;Gregory Abbey, Sebastian Arcelus, Ben Baron, Amy Birnbaum, Madeleine Blaustein, Christopher Collet, Darren Dunstan, Wayne Grayson, Dan Green, Masanori Ikeda, Kôji Ishii, Shunsuke Kazama, Hidehiro Kikuchi, Ted Lewis, Tadashi Miyazawa, Lisa Ortiz, Mike Pollock, Scott Rayow, Charles Rocket, Maki Saitou, Tara Sands, Eric Stuart, Hiroki Takahashi, Jiro Takasugi, Junko Takeuchi, Marc Thompson, Kenjirô Tsuda;Christopher Collet, Eric Stuart, Hatsuki Tsuji;Elik Alvarez, Joel Douek, Freddy Sheinfeld;Matthew Drdek, Lloyd Goldfine, Norman J. Grossfeld;100;
Strawberry & Chocolate;1993;Movie;Comedy, Drama, Romance;7.4;5523;Cuba, Mexico, Spain, United States;Spanish, English, French;Jorge Perugorría, Vladimir Cruz, Mirta Ibarra, Francisco Gattorno, Joel Angelino, Marilyn Solaya, Andrés Cortina, Antonio Carmona, Ricardo Ávila, María Elena Del Toro, Zolanda Oña, Diana Iris Del Puerto;Tomás Gutiérrez Alea, Juan Carlos Tabío;José María Vitier;Tomás Gutiérrez Alea, Senel Paz, Senel Paz;108;
Brain Drain;2009;Movie;Comedy, Romance;4.8;1992;Spain;Spanish, English, German;Mario Casas, Alberto Amarilla, Amaia Salamanca, Canco Rodríguez, Gorka Lasaosa, Pablo Penedo, Blanca Suárez, Sarah Mühlhause, Álex Angulo, Asunción Balaguer, Joan Dalmau, David Fernández, José Luis Gil, Fernando Guillén, Loles León, Mariano Peña, Antonio Resines, Carlos Santos, Marilyn Torres, Simon Cohen, Brendan Price, Reg Wilson, Rubén Pasamar, Lola Cordón, Pedro Civera, Carmen García Quirós, Óscar Casas, Andrea Díaz, Oliver Vigil, Sara Gómez, Nuria Haya, Adrián Lastra, Jesús Carrillo, María León, Jonathan D. Mellor, Graham Roberts, Noemí Ruíz, Jaskaran Brady, Penelope Snelling, Carlos Velasco, Manuel Vidal, Yola Berrocal, Playcacao, Ken Appledorn, Juan Borrell Soldevila;Fernando González Molina;Manel Santisteban;Álex Pina, Curro Velázquez;104;
Burden Of Dreams;1982;Movie;Documentary;7.9;6903;United States;Spanish, English, German;Werner Herzog, Klaus Kinski, Claudia Cardinale, Jason Robards, Mick Jagger, Alfredo De Rio Tambo, Ángela Reina, Carmen Correa, Elia De Rio Ene, David Pérez Espinosa, Miguel Ángel Fuentes, Mariano Gagnon, Paul Hittscher, Huerequeque Enrique Bohorquez, Evaristo Nunkuag Ikanan, José Lewgoy, Laplace Martins, Thomas Mauch, Nelson De Rio Cenepa, Walter Saxer, Jorge Vignati, Candace Laughlin, Beat Presser;Les Blank;Unknown;Michael Goodwin;95;
800 Bullets;2002;Movie;Action, Comedy, Drama, Western;6.3;4395;Spain;Spanish, English, Italian;Sancho Gracia, Ángel De Andrés López, Carmen Maura, Eusebio Poncela, Luis Castro, Manuel Tallafé, Enrique Martínez, Luciano Federico, Eduardo Gómez, Terele Pávez, Ramón Barea, Cesáreo Estébanez, Eduardo Antuña, Gracia Olayo, Berta Ojea, Yoima Valdés, Ane Gabarain, Javier Aranda, Alfonso Torregrosa, Javier Bustamante, Arantxa Silvestre, Fernando Casado Rosa, Juan Viadas, Pablo Pinedo, Lola Del Pino, Juan José Exposito Ferrer, Hector Gomez, Artemy Guillen, Julio Alonso, Juan-Jo Lezamiz, Jorge Otero Garcia Harold, Juanma Pagazaurtundua, Carolo Ruiz, Paul Vega, Francisco Aguilar, Lucia Castillo, Begoña Cruz, Ramón G. Del Pomar, Tito García, Agustín Gomez Marín, Mercedes Guillot, Biaffra, Constantino Romero;Álex De La Iglesia;Roque Baños;Jorge Guerricaechevarría, Álex De La Iglesia;124;
Who The Hell Is Juliette?;1997;Movie;Documentary, Music;6.8;566;Mexico;Spanish, English, Italian;Yuliet Ortega, Fabiola Quiroz, Jorge Quiroz, Victor Ortega, Michele Ortega, Salma Hayek, Benny Ibarra, Francesco Clemente, Daniel Giménez Cacho, Oneida Ramírez;Carlos Marcovich;Alejandro Marcovich;Carlos Cuarón, Carlos Marcovich;91;
Amor De Hombre;1997;Movie;Comedy, Drama;6.2;512;Spain;Spanish, English, Swedish, French;Loles León, Andrea Occhipinti, Pedro Mari Sánchez, Armando Del Río, Roberto Álvarez, Romà Sánchez, Jesús Cabrero, Sergio Otegui, Martijn Kuiper, Joaquín Luna, Manuel Tiedra, Daniel Gutiérrez, Jimmy Heino, Carlos Ucar, Aitor Tejada, Enrique Neant, Daniel Díez, Ángel Alcázar, Juan León, David Usandizaga, Cristina Montero, Antonio Albert, Juan Luis Alvarez, Juan Luis Iborra, Tito Valverde;Yolanda García Serrano, Juan Luis Iborra;José Manuel Pagán;Yolanda García Serrano, Juan Luis Iborra;88;
Bear Cub;2004;Movie;Comedy, Drama;7.1;3586;Spain;Spanish, French;José Luis García Pérez, David Castillo, Empar Ferrer, Elvira Lindo, Arno Chevrier, Mario Arias, Josele Román, Diana Cerezo, Daniel Llobregat, Juanma Lara, Jorge Calvo, Josep Tomàs, Juanjo Martínez, Ramón Ramos, Patxi Uribarren, Isidro Olmo, Fernando Albizu, Javier Martínez, Pep Morell, Alfonso Torregrosa, Fernando Tejero, Roberto Hernández, Félix Álvarez, Cali Caballero, Jorge Alcázar, Montse Alcoverro, César Capilla, Melanie Beleña, Ana Albaladejo, Felipe Albaladejo, Paco Luna, Daniel Heras, Herminia Mendoza, Manuel Crespo, Lucía De La Fuente, Adrián Deacal, Elena Jimenez, Juan Ramón Deacal, Umesh;Miguel Albaladejo;Lucio Godoy;Miguel Albaladejo, Salvador García Ruiz;100;
Goya In Bordeaux;1999;Movie;Biography, Drama, War;6.7;2111;Spain, Italy;Spanish, French, Italian;Francisco Rabal, Jose Coronado, Dafne Fernández, Eulàlia Ramon, Maribel Verdú, Joaquín Climent, Cristina Espinosa, Josep Maria Pou, Saturnino García, Concha Leza, Franco Di Francescantonio, Carlos Hipólito, Manuel De Blas, Pedro Azorín, Emilio Gutiérrez Caba, Joan Vallés, Paco Catalá, Mario De Candia, Jaime Losada, Ainhoa Suárez, José Reche, José Sáinz, Demetrio Julián, Stephane Salom, Roberto Arcilla, Lorena Pellarini, Azucena De La Fuente, Bartolomé Moreno, Francisco Jesús Santillana, José Luis Chavarría, Luis Llamas, Natalie Pinot, Olivier Dbelloch, Borja Elgea, José Antonio, Eva Trancón, Rafael Téllez, Mauricio Bautista, David García Palencia, Javier Losán, David Luque;Carlos Saura;Roque Baños;Carlos Saura, Luigi Scattini;100;
The Dark Side Of The Heart;1992;Movie;Comedy, Romance, Drama;7.6;3575;Argentina, Canada;Spanish, German;Darío Grandinetti, Sandra Ballesteros, Nacha Guevara, André Mélançon, Jean Pierre Reguerraz, Mónica Galán, Inés Vernengo, Marisa Aguilera, Hugo Arana, Mariana Baranchuk, Claudia Bedacarratz, Mario Benedetti, Jesús Berenguer, Pablo Brichta, Silvina Chaine, Marcela Criquet, Dalila, Jorge Del Castilo, Jorge Dória, Leonor Evelson, Diana Farias, Zacarias Ferrarotti, José Luis García Espina, Luis Gianneo, Carlos Gorriarena, Delfina Grau, Tito Haas, Lara Jadur, Pablo Jadur, Natalia Jefimczuk, Jorge Lanata, Diego Leske, Grecia Levy, Juan Leyrado, Marta Machado, Karina Meroni, Mora Moglia, Miriam Moyano, Santiago Mugnani, Helena Nessi, Miriam Odorico, Cecilia Ortelli, Graciela Pascual, Adriana Pérez, María Laura Reigosa, Carmen Renard, Paco Rey, Ana Rossi, Chela Ruíz, María Elena Sagrera, Salvador Sammaritano, Violeta Scarponi, Adriana Schettini, Miguel Ángel Solá, Walter Soubrie, Santiago Subiela, Ezequiel Tabarex, Ernesto Torchia, Jackie Tyrrell, Déborah Vidret, Elvira Villarino, Néstor Zacco, Carlos Broggi;Eliseo Subiela;Osvaldo Montes;Mario Benedetti, Juan Gelman, Oliverio Girondo;127;
Felicidades;2000;Movie;Comedy, Drama;7.2;649;Argentina;Spanish, Hebrew;Luis Machín, Gastón Pauls, Silke, Pablo Cedrón, Carlos Belloso, Marcelo Mazzarello, Alfredo Casero, Cacho Castaña, Fabián Arenillas, Eduardo Ayala, Federico Cammarota, Fatty Iastrebner, Mariana Arias, Henry Meziat, Mariano Fraomeni, Mariana Otero, Catalina Speroni, Anahí Martella, Jorge Román, Luciano Cazaux, Alejandro Jablonskis, Jorge González, Pocho Lapouble, Camilo Iezzi, Andrés Goldstein, Daniel Tarrab, Manuel Escobar, Pedro Loeb, Abain Vain, Marcelo Sein, Armonía Borrás, Carmen Renard, Chela Cardalda, Johana Alharal, Héctor Drachtman, Ita Landau, Marina Kopelowicz, Paula Broner, Mariano Schiavello, Gabo Correa, Michael Kalwill, Luisina Acosta, Erasmo Olivera, Diego Schapira, Gabriel Almirón, Gloria Ringa, Gustavo Adrián, Hipólito Vélez, Pepe Mariani, Ramón Pérez, Enrique Blugerman, Ricardo Lazara, Oscar Peñaranda, Ana Feldman, Ricardo La Bianca, Ayelén Dotti, Juan Puig, Rodrigo Barrena, Marcelo Hernandez, Damián Kling;Lucho Bender;Andrés Goldstein, Daniel Tarrab;Lucho Bender, Pablo Cedrón, Pedro Loeb;100;
Live Flesh;1997;Movie;Drama;7.4;29740;Spain, France;Spanish, Italian, Bulgarian;Javier Bardem, Francesca Neri, Liberto Rabal, Ángela Molina, José Sancho, Penélope Cruz, Pilar Bardem, Álex Angulo, Mariola Fuentes, Yael Be, Josep Molins, Daniel Lanchas, María Rosenfeldt, Agustín Almodóvar, Antonio Henares, Diego De Paz, Matías Prats;Pedro Almodóvar;Alberto Iglesias;Pedro Almodóvar, Jorge Guerricaechevarría, Ray Loriga;103;
Memories Of My Father;2020;Movie;Drama, History;7.3;806;Colombia;Spanish, Italian, English;Javier Cámara, Nicolás Reyes Cano, Juan Pablo Urrego, Patricia Tamayo, Maria Tereza Barreto, Laura Londoño, Elizabeth Minotta, Kami Zea, Luciana Echeverry, Camila Zarate, Whit Stillman, Laura Rodriguez, Luz Myriam Guarin, Aida Morales, Gustavo Angarita, Kepa Amuchastegui, Gianina Arana, Adriana Ospina, Alberto Rodriguez, John Camilo Pinzón, Juan Manuel Aristizabal, Jesús Orlando Cadavid, Maria De Las Marcedes Hernandez, María Ester Murillo, John Alexander Gutiérrez, Juan Ángel Samper, Sharlyn Stacy Gray, Leduan Arango Mazoo, Emilio Alberto Arango, Jairo Alberto Gil, Ana De Jesús Montoya, Robinson Arango Loaiza, Rafael Alberto Álvarez, Maria Celina Restrepo Mesa, Tiberio De Jesús Rojas, Orlando De Jesús Aguirre, Santiago Bejarano, Carlos Mario Echeverry, Claudia Cano, Bernardo Restrepo, Jorge Iván Díaz, Adriana Elisa Correa, María Engracia Londoño, Sebastián Giraldo, Armando Ríos Montoya, Erika Ruiz, Sebastián Sánchez, Paula Páez, Jonathan Barrios, Lorena Altamirano, Emily Pinto, Andrés Agudelo, Héctor Achurry, Gloria Osorio, Andrés Betancourt, Brian Niebles, Andrés Felipe Grisales, Susana Guarón, Brandon Holguín, Mariluna Giraldo, Mauricio García, Enzo Morales, Camilo Conde, Camilo Arroyave, Alberto Rincón, Carolina Quiroz, Edilma Montoya, Raúl Narváez, Diego Hernández, Karina Uribe, Sergio Iván Castaño, Diógenes Mora, Juan Esteban Madrigal, Rodrigo Supertani, Jorge Eliécer Campuzano, Juan Carlos Mendoza, Yedison Flores, Óscar Iván Castaño, Alexandra Restrepo, Dirk Bogarde, Al Pacino;Fernando Trueba;Zbigniew Preisner;Héctor Abad Faciolince, David Trueba;136;
A Shadow You Soon Will Be;1994;Movie;Drama;6.4;103;Argentina;Spanish, Italian, Latin;Miguel Ángel Solá, Pepe Soriano, Martín Coria, Roberto Carnaghi, Hernán Jiménez, Pedro Segni, Mario Lozano, Alfonso De Grazia, Eusebio Poncela, Marita Ballesteros, Juan José Ghisalberti, Alicia Bruzzo, Leandro Regúnaga, Diego Torres, Gloria Carrá, Susana Cabrera, Luis Brandoni, Horacio Nitalo, Augusto Larreta, Jorge Varas González;Héctor Olivera;Osvaldo Montes;Héctor Olivera, Osvaldo Soriano, Osvaldo Soriano;105;
Cabeza De Vaca;1991;Movie;Adventure, Biography, Drama, History, Western;6.9;1113;Mexico, Spain, United States, United Kingdom;Spanish, Latin;Juan Diego, Daniel Giménez Cacho, Roberto Sosa, Carlos Castañón, Gerardo Villarreal, Roberto Cobo, José Flores, Eli Chupadera Machuca, Farnesio De Bernal, Josefina Echánove, Max Kerlow, Óscar Yoldi, Ramón Barragán, Julio Solórzano Foppa, Javier Escobar Villarreal, Víctor Hugo Salcedo, Jorge Santoyo, Juan Sánchez Duarte, Adyari Cházaro, Mayra Serbulo, José Manuel Poncelis, Héctor Téllez, Víctor Hugo Martín Del Campo, Adriana Guzmán, Ivonne Leyton, Santiago Carrillo, Alejandro Carrillo, Santiago López, Geraldo Martinez, Abel Woolrich, Juan Carlos Martínez, Gerardo Durán, Alfredo Mejía Barón, Alejandro Tamayo, Antero Chávez, José Salinas, Jesús Vázquez, Gerardo Sánchez, Sara Iliana Sánchez, Gisela Sanders Alcántara, Dulce María Villarreal, Armando Flores, Isreal Villa, Nayelli Zepeda, Juana Dorantes, Alicia Sánchez;Nicolás Echevarría;Mario Lavista;Nicolás Echevarría, Alvar Nunez Cabeza De Vaca, Xavier Robles;112;
The Motorcycle Diaries;2004;Movie;Adventure, Biography, Drama;7.8;99100;Argentina, United States, Chile, Peru, Brazil, United Kingdom, Germany, France;Spanish, Quechua, Mapudungun;Gael García Bernal, Rodrigo De La Serna, Mía Maestro, Mercedes Morán, Jean Pierre Noher, Lucas Oro, Marina Glezer, Sofia Bertolotto, Franco Solazzi, Ricardo Díaz Mourelle, Sergio Boris, Daniel Kargieman, Diego Giorzi, Facundo Espinosa, Matias Gomez, Diego Treu, Ariel Verdun, Gustavo Mansilla, Susana Lanteri, Natalia Lobo, Maida Andrenacci, Bárbara Lombardo, Dana Frijoli, Valeria Echeverria, Ariel Prieto, Matías Strafe, Nicolas Watson, Carlos Rivkin, Elvio Suarez, Pablo Villarrazza, Liliana Kolinsky, Guillermo Ojeda, Oscar Alegre, Fernando Llosa, Marta Lubos, Cristián Chaparro, Cristian Arancibia, Gabriela Aguilera, Juan Maliqueo, Samuel Cifuentes, Constanza B. Majluf, Evelyn Ibarra, Victor Hugo Ogaz, Fernando Farías, Maximiliano Toledo, César López, Pablo Macaya, Rosa Curihuentro, Erto Pantoja, Vladimir Paredes, Brandon Cruz, Vilma M. Verdejo, Jaime Azócar, Maria Esther Zamora, Pollito Gonzalez, Jorge Lobos, Cuti Aste, Roberto Lindl, Gustavo Morales, Gustavo Bueno, Maria Beatriz Abele, Jonathan Balbis, Matias Delgado Rizzi, Jorge Rodríguez Paz, Jackelyne Vásquez, Ernesto Cabrejos, Víctor Ángeles, Willy Gutiérrez, Gerald Mayeux, Matías Gomez, Jorge Chiarella, Ricardo Velásquez, Carolina Infante, Nidia Bermejo, Carlos Caitro Soto De La Colina, Delfina Paredes, Nemesio Reyes, Hernan Herrera, Antonella Costa, Igor Calvo, Julio Berrocal, Alberto Granado, Gustavo Pastorini;Walter Salles;Gustavo Santaolalla;Ernesto Che Guevara, Alberto Granado, Jose Rivera;126;
